title;imdb;mid;trailer;date;directors;actors;poster;netflix_id;runtime;rating;descr;Action;Adventure;Animation;Comedy;Drama;Family;Fantasy;Mystery;Romance;Science Fiction;Thriller;class1;class2;class3
First Love;tt0396818;/m/03cx55t;['http://www.mymovies.it/trailer/?id=34933'];09/02/2004;Matteo Garrone;Vitaliano Trevisan, Michela Cescon, Elvezia Allari, Paolo Capoduro;http://ia.media-imdb.com/images/M/MV5BMTUwOTY5NTc1M15BMl5BanBnXkFtZTcwMDMxNTA0MQ@@._V1_SX300.jpg;['70032564'];94;6.8;Vittorio is looking for a woman who matches his ideal. Through a classified ad he meets Sonia, a sweet, pleasant, intelligent girl. However, she weighs 125 pounds -- which according to ...;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Fish Tank;tt1232776;/m/05z_kps;[];14/05/2009;Andrea Arnold;Katie Jarvis, Michael Fassbender, Kierston Wareing, Rebecca Griffiths;http://ia.media-imdb.com/images/M/MV5BMTc1NTk4MzkxOF5BMl5BanBnXkFtZTcwNDkxMDAxMw@@._V1_SX300.jpg;['70118769'];123;7.3;Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Foolproof;tt0356614;/m/09w4w7;[];03/10/2003;William Phillips;Ryan Reynolds, Kristin Booth, Joris Jarsky, Sean Sullivan;http://ia.media-imdb.com/images/M/MV5BMTQ3NjQxMTkxMV5BMl5BanBnXkFtZTcwNTU5MDUyMQ@@._V1_SX300.jpg;['60034333'];94;6.8;Kevin, Sam and Rob are founding members of a theoretical group which pulls off heists. Leo, a gangster, blackmails them into pulling off a real multi-million dollar heist. Now it's up to them to get out alive.;1;0;0;1;0;0;0;0;0;0;1;0.229059829;0.596590909;0.205020921
Footloose;tt1068242;/m/080nwsb;['http://youtu.be/79DcKuxmXMs'];06/10/2011;Craig Brewer;Kenny Wormald, Julianne Hough, Dennis Quaid, Andie MacDowell;http://ia.media-imdb.com/images/M/MV5BMTY3MjIzMjk4M15BMl5BanBnXkFtZTcwMzMxMzIzNg@@._V1_SX300.jpg;['70178624'];113;6.9;City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
For a Few Dollars More;tt0059578;;;1965;Sergio Leone;Clint Eastwood, Lee Van Cleef, Gian Maria Volonté, Mario Brega;http://ia.media-imdb.com/images/M/MV5BMTQzMjIzOTEzMF5BMl5BanBnXkFtZTcwMTUzNTk3NA@@._V1_.jpg;11519851;132;8.3;Two bounty hunters with the same intentions, team up to track down a Western outlaw.;1;1;0;0;0;0;0;0;0;0;0;0.22;0;0
Forrest Gump;tt0109830;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e10788&bitrateid=471&vendorid=102&type=.mp4;1994;Robert Zemeckis;Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys;http://ia.media-imdb.com/images/M/MV5BMTQwMTA5MzI1MF5BMl5BanBnXkFtZTcwMzY5Mzg3OA@@._V1_.jpg;60000724;142;8.8;Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.;0;0;0;1;1;0;0;0;1;0;0;0.02;0.98;0
Frankenstein;tt0021884;/m/0jqzt;['http://www.youtube.com/watch?v=McUce_xwxeA'];21/11/1931;James Whale;Colin Clive, Mae Clarke, John Boles, Boris Karloff;http://ia.media-imdb.com/images/M/MV5BMTkyOTg5NTE1Nl5BMl5BanBnXkFtZTgwMDY2NTUyMjE@._V1_SX300.jpg;['70012479', '70064263'];70;5.5;An obsessed scientist assembles a living being from parts of exhumed corpses.;0;0;0;0;0;0;0;0;0;1;0;0.136752137;0.005681818;0.066945607
Frankenweenie;tt1142977;/m/0g56t9t;['http://www.imdb.com/video/imdb/vi23568665/'];20/09/2012;Tim Burton;Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan;http://ia.media-imdb.com/images/M/MV5BMTk1MjYzMjY2N15BMl5BanBnXkFtZTgwNzg2NjAwMzE@._V1_SX300.jpg;[];112;8.1;Young Victor conducts a science experiment to bring his beloved dog Sparky back to life, only to face unintended, sometimes monstrous, consequences.;0;0;1;1;0;1;0;0;0;1;0;0.61025641;0.397727273;0.071129707
Free Zone;tt0441761;/m/06z3xb;[];19/05/2005;Amos Gitai;Natalie Portman, Hana Laszlo, Hiam Abbass, Carmen Maura;http://ia.media-imdb.com/images/M/MV5BMTQ0Nzc2Mzk3OF5BMl5BanBnXkFtZTcwMTM1NDY0MQ@@._V1_SX300.jpg;['70035175'];90;4.7;Two women embark on a road trip after they are brought together by circumstance. Rebecca (Portman) flees her hotel after a fight with her mother-in-law (Maura) and hails a taxi driven by Hanna (Lazlo).;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
Freeze Frame;tt0363095;/m/0drn2t;[];2004;John Simpson;Lee Evans, Sean McGinley, Ian McNeice, Colin Salmon;http://ia.media-imdb.com/images/M/MV5BMTU3NjkzNzQ0Nl5BMl5BanBnXkFtZTcwMTc1MzMzMQ@@._V1_SX300.jpg;['70012744'];99;6.4;Ten years ago, after being accused of a hideous murder of a mother and her twin daughters, Sean Veil became paranoid, filming himself along twenty-four hours a day to have an alibi if ...;0;0;0;0;0;0;0;1;0;0;1;0.008547009;0;0.912133891
Frida;tt0120679;/m/02jxrw;[];29/08/2002;Julie Taymor;Salma Hayek, Mía Maestro, Alfred Molina, Antonio Banderas;http://ia.media-imdb.com/images/M/MV5BMTMyODUyMDY1OV5BMl5BanBnXkFtZTYwMDA2OTU3._V1_SX300.jpg;['60024997'];123;7.5;A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Friday After Next;tt0293815;/m/06x8g2;[];22/11/2002;Marcus Raboy;Ice Cube, Mike Epps, John Witherspoon, Don 'D.C.' Curry;http://ia.media-imdb.com/images/M/MV5BMTM3ODkwODM3OF5BMl5BanBnXkFtZTYwNjUzMDg5._V1_SX300.jpg;['60024929'];85;6.5;Craig and Day Day have finally moved out of their parents houses and into their own crib. The cousins work nights at a local mall as security guards. When their house is robbed on Christmas...;0;0;0;1;0;0;0;0;0;0;0;0;0.585227273;0
Friday Night Lights;tt0390022;/m/042zrm;[];06/10/2004;Peter Berg;Billy Bob Thornton, Lucas Black, Garrett Hedlund, Derek Luke;http://ia.media-imdb.com/images/M/MV5BMTcxMDI5MTM4Ml5BMl5BanBnXkFtZTcwNjA4MDcyMQ@@._V1_SX300.jpg;['70002003'];118;7.4;Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.;1;0;0;0;1;0;0;0;0;0;0;0.01025641;0.318181818;0
Fright Night;tt0089175;/m/04857z;[];02/08/1985;Tom Holland;Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall;http://ia.media-imdb.com/images/M/MV5BMTkxNzA2NjUyOF5BMl5BanBnXkFtZTgwMzQzNTcxMTE@._V1_SX300.jpg;['525692'];106;5.7;When a teenager learns that his next door neighbour is a vampire, no one will believe him.;0;0;0;1;0;0;0;0;0;0;1;0.001709402;0.590909091;0.066945607
From Hell;tt0120681;/m/0c34mt;[];08/09/2001;Albert Hughes, Allen Hughes;Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane;http://ia.media-imdb.com/images/M/MV5BMTM1MjkxNTQxMV5BMl5BanBnXkFtZTYwMDMxNDg2._V1_SX300.jpg;['60021642'];122;6.9;In Victorian Era London, a troubled clairvoyant police detective investigates the murders by Jack The Ripper.;0;0;0;0;1;0;0;1;0;0;1;0.001709402;0.329545455;0.39748954
From Paris with Love;tt1179034;/m/04ydyvx;[];04/02/2010;Pierre Morel;John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden;http://ia.media-imdb.com/images/M/MV5BNDUyMzExOTAyM15BMl5BanBnXkFtZTcwMTU0NjAyMw@@._V1_SX300.jpg;['70117322'];92;5.1;In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.;1;0;0;0;0;0;0;0;0;0;1;0.295726496;0;0.694560669
From Prada to Nada;tt0893412;/m/0crst3q;[];28/01/2011;Angel Gracia;Camilla Belle, Alexa PenaVega, Tina French, Luis Rosales;http://ia.media-imdb.com/images/M/MV5BMTY2NDAxNjgwMF5BMl5BanBnXkFtZTcwNDc3NzQxNA@@._V1_SX300.jpg;['70139385'];107;5.5;"A Latina spin on Jane Austen's ""Sense and Sensibility,"" where two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.";0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
Frozen;tt1323045;/m/09k68nd;[];24/01/2010;Adam Green;Emma Bell, Shawn Ashmore, Kevin Zegers, Ed Ackerman;http://ia.media-imdb.com/images/M/MV5BMTc5MTg0ODgxMF5BMl5BanBnXkFtZTcwODEzOTYwMw@@._V1_SX300.jpg;['70129461'];93;6.2;Three skiers stranded on a chairlift are forced to make life-or-death choices which prove more perilous than staying put and freezing to death.;0;0;0;0;1;0;0;0;0;0;1;0;0.318181818;0
Frozen River;tt0978759;/m/03gyr36;['http://www.youtube.com/watch?v=B5pPQdLN4mg'];18/01/2008;Courtney Hunt;Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe;http://ia.media-imdb.com/images/M/MV5BMTk2NjMwMDgzNF5BMl5BanBnXkFtZTcwMDY0NDY3MQ@@._V1_SX300.jpg;['70084148'];97;6.9;Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec. Here, the lure of fast money from smuggling ...;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Fugitive Pieces;tt0765451;/m/04j03kw;[];06/09/2007;Jeremy Podeswa;Robbie Kay, Monika Schurmann, Nina Dobrev, Jordan Pettle;http://ia.media-imdb.com/images/M/MV5BODU3MzU3MzQyMV5BMl5BanBnXkFtZTcwMzMyNzg2MQ@@._V1_SX300.jpg;['70098624'];104;6.3;A child escapes from Poland during World War II and first heads to Greece before coming of age in Canada.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Full Metal Jacket;tt0093058;;;1987;Stanley Kubrick;Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey;http://ia.media-imdb.com/images/M/MV5BMjA4NzY4ODk4Nl5BMl5BanBnXkFtZTgwOTcxNTYxMTE@._V1_.jpg;528677;116;8.4;A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;1;0;0;0;1;0;0;0;0;0;0;0.01;0.34;0
Funkytown;tt0981286;/m/0gg6d3h;['http://www.youtube.com/watch?v=J_X-eRpJsoM'];28/01/2011;Daniel Roby;Patrick Huard, Justin Chatwin, Paul Doucet, Sarah Mutch;http://ia.media-imdb.com/images/M/MV5BNjU1NjE3Nzg2MV5BMl5BanBnXkFtZTcwNTg5MzM2Mw@@._V1_SX300.jpg;[];132;6.9;1976. Montreal. Eight people who wanted to see and be seen at the trendiest disco will be juggling fame and anonymity until they will be forced to make sober choices in an era when excess was the norm, and when disco was king.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Funny People;tt1201167;/m/047svrl;[];20/07/2009;Judd Apatow;Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana;http://ia.media-imdb.com/images/M/MV5BMTMxNDQ5MTA5MF5BMl5BanBnXkFtZTcwMzUyMDUwMg@@._V1_SX300.jpg;['70108781', '70126503'];146;4.8;When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship cause him to take a relatively green performer under his wing as his opening act.;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
Galaxy Quest;tt0177789;/m/03fts;[];23/12/1999;Dean Parisot;Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub;http://ia.media-imdb.com/images/M/MV5BMjA0NjM1ODkyMl5BMl5BanBnXkFtZTcwODY0NDMzMg@@._V1_SX300.jpg;['28369403'];102;6.5;The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help.;1;1;0;1;0;0;0;0;0;1;0;0.560683761;0.426136364;0.058577406
Gandhi;tt0083987;;http://video-http.media-imdb.com/MV5BYjc0OGI0MWMtMzRiZi00NWI2LTg3ZWUtYmY5NWRhYmU0MzAyXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422403055&Signature=AGuSjIdMUZ4Gowv02SGDHoP~fH2T2Ub1L~EOG3oSwrQxfoKxS2A6JVj~E8bQ1F~SIyK9P2taM9v3~XtZSmAlUtuhilnj23zovCNEM~IoeGre8VhaRbLmVx2qlaw3xN47TyS9o4C~Lfu9kLJXerNoiIBk3kgmOulK0nnnceDMc6A_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;1982;Richard Attenborough;Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud;http://ia.media-imdb.com/images/M/MV5BMTQyNTQ4MTAzNl5BMl5BanBnXkFtZTcwMjk2Njk3OA@@._V1_.jpg;60010384;191;8.1;The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Gangs of New York;tt0217505;/m/019vhk;['http://www.youtube.com/watch?v=wcty-Vw77R8'];09/12/2002;Martin Scorsese;Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent;http://ia.media-imdb.com/images/M/MV5BMTI4NTM0Mzg2NV5BMl5BanBnXkFtZTcwNjQxMDAwMQ@@._V1_SX300.jpg;['60021787'];167;7.7;In 1863, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Gangs of Wasseypur;tt1954470;;;2012;Anurag Kashyap;Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui, Tigmanshu Dhulia;http://ia.media-imdb.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_.jpg;;320;8.5;A clash between Sultan (a Qureishi dacoit chief) and Shahid Khan (a Pathan who impersonates him) leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.;0;0;0;0;1;0;0;0;0;0;1;0;0.32;0
Garden Party;tt0828393;/m/03grp5m;[];30/05/2008;Jason Freeland;Tierra Abbott, Christopher Allport, Lisa Arturo, Erik Bragg;http://ia.media-imdb.com/images/M/MV5BMjAzNTE2MTU2Nl5BMl5BanBnXkFtZTcwOTU3NjU3MQ@@._V1_SX300.jpg;['70101350'];88;5.6;Are you young, sexually confused, just trying to get by? Do you sing, dance or possess some other talent? Welcome to the Garden Party. At the center of the story is 15-year-old April. She ...;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Ghost Machine;tt1286147;/m/0bj5x76;[];2009;Chris Hartwill;Sean Faris, Rachael Taylor, Luke Ford, Richard Dormer;http://ia.media-imdb.com/images/M/MV5BMTczNzkxMjQ4Ml5BMl5BanBnXkFtZTgwOTk3MjA2MDE@._V1_SX300.jpg;['70119756'];100;4.9;Two technicians battle a vengeful spirit that has infected their stolen military software.;0;0;0;0;0;0;0;0;0;1;1;0.148717949;0.011363636;0.786610879
Gigante;tt1360866;/m/07l4zj3;['http://www.youtube.com/watch?v=ztWckF3GhEA'];08/02/2009;Adrián Biniez;Horacio Camandule, Leonor Svarcas, Ignacio Alcuri, Fernando Alonso;http://ia.media-imdb.com/images/M/MV5BMTk1MDU0NDEzN15BMl5BanBnXkFtZTcwNDY1NDI4Mg@@._V1_SX300.jpg;['70114346'];90;6.3;A chronicle of a supermarket security guard's obsession with a late-shift janitor.;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
Gladiator;tt0172495;/m/09q5w2;['http://www.dreamworks.com/gladiator/'];01/05/2000;Ridley Scott;Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed;http://ia.media-imdb.com/images/M/MV5BMTgwMzQzNTQ1Ml5BMl5BanBnXkFtZTgwMDY2NTYxMTE@._V1_SX300.jpg;['60000929', '70122038'];155;8.8;When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.;1;1;0;0;1;0;0;0;0;0;0;0.247863248;0.323863636;0
Golden Door;tt0465188;/m/02qtwbj;[];08/09/2006;Emanuele Crialese;Charlotte Gainsbourg, Vincenzo Amato, Aurora Quattrocchi, Francesco Casisa;http://ia.media-imdb.com/images/M/MV5BMTI2NTM1MzY4OV5BMl5BanBnXkFtZTcwODUyMDc0MQ@@._V1_SX300.jpg;['70067846'];118;4.3;The story is set at the beginning of the 20th century in Sicily. Salvatore, a very poor farmer, and a widower, decides to emigrate to the US with all his family, including his old mother. ...;0;1;0;0;1;0;0;0;1;0;0;0.034188034;0.392045455;0
Gone;tt1838544;/m/0gw8ngw;[];21/02/2012;Heitor Dhalia;Amanda Seyfried, Daniel Sunjata, Jennifer Carpenter, Sebastian Stan;http://ia.media-imdb.com/images/M/MV5BMTgzMTEyOTgyOF5BMl5BanBnXkFtZTcwOTY1ODkxNw@@._V1_SX300.jpg;[];94;5.5;A woman is convinced her kidnapper has returned when her sister goes missing.;0;0;0;0;1;0;0;1;0;0;1;0.001709402;0.329545455;0.39748954
Gone Baby Gone;tt0452623;/m/0dsvzh;['http://www.youtube.com/watch?v=itPTyd3DkEw'];05/09/2007;Ben Affleck;Casey Affleck, Michelle Monaghan, Morgan Freeman, Ed Harris;http://ia.media-imdb.com/images/M/MV5BMTYzNjc3MTY1MV5BMl5BanBnXkFtZTcwMzA1MjE2MQ@@._V1_SX300.jpg;['70065115'];114;7.5;Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.;0;0;0;0;1;0;0;1;0;0;1;0.001709402;0.329545455;0.39748954
Gone Girl;tt2267998;;http://video-http.media-imdb.com/MV5BMTQzMjk1NzE3MF5BMTFeQW1wNF5BbWU4MDUyMzkzNTIx.mp4?Expires=1422389975&Signature=hOpmCYNAn3u4eSzgdMksalhuR9QEP30iVMQ-e62~P7cKGCqtD6AvOJkR~tAy3oM8UROUgPwNd3dp6vExBUb0zyQpvBC31llY4Lu5~AhFM2r0cnLG2P73nHTXrrVEd2q3I5aZLKnWY5aXxnnd5hxI4g3N-oqPDgIL1KRFaR9eqxQ_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;2014;David Fincher;Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry;http://ia.media-imdb.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_.jpg;;149;8.3;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.;0;0;0;0;1;0;0;1;0;0;1;0;0.32;0.9
Gone with the Wind;tt0031381;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e134331&bitrateid=472&vendorid=102&type=.mp4;1939;Victor Fleming, George Cukor, Sam Wood;Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes;http://ia.media-imdb.com/images/M/MV5BNDUwMjAxNTU1MF5BMl5BanBnXkFtZTgwMzg4NzMxMDE@._V1_.jpg;70020694;238;8.2;A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.;0;0;0;0;1;0;0;0;1;0;0;0;0.36;0
Gooby;tt1132588;/m/0crr_3j;[];2009;Wilson Coneybeare;Robbie Coltrane, David James Elliott, Ingrid Kavelaars, Eugene Levy;http://ia.media-imdb.com/images/M/MV5BMjExMzU2MDc0MV5BMl5BanBnXkFtZTcwOTIzMTkyMg@@._V1_SX300.jpg;['70118192'];99;3.4;Eleven year old Willy's childhood toy, Gooby, comes to life as a real, live, six-foot tall monster who helps Willy through rough times, with hair-raising and hilarious adventures.;0;0;0;1;0;1;1;0;0;0;0;0.241025641;0.619318182;0.016736402
Good bye, Lenin!;tt0301357;/m/023z7v;['http://www.youtube.com/watch?v=kbGe403xdbk'];09/02/2003;Wolfgang Becker;Daniel Brühl, Katrin Saß, Chulpan Khamatova, Maria Simon;http://ia.media-imdb.com/images/M/MV5BMTI0MTg4NzI3M15BMl5BanBnXkFtZTcwOTE0MTUyMQ@@._V1_SX300.jpg;['60034095'];121;7.9;In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
Good Will Hunting;tt0119217;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e10017&bitrateid=471&vendorid=102&type=.mp4;1997;Gus Van Sant;Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård;http://ia.media-imdb.com/images/M/MV5BMTk0NjY0Mzg5MF5BMl5BanBnXkFtZTcwNzM1OTM2MQ@@._V1_.jpg;17405997;126;8.3;Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.;0;0;0;0;1;0;0;0;1;0;0;0;0.36;0
Goodfellas;tt0099685;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e10935&bitrateid=471&vendorid=102&type=.mp4;1990;Martin Scorsese;Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco;http://ia.media-imdb.com/images/M/MV5BMTY2OTE5MzQ3MV5BMl5BanBnXkFtZTgwMTY2NTYxMTE@._V1_.jpg;70002022;146;8.7;Henry Hill and his friends work their way up through the mob hierarchy.;0;0;0;0;1;0;0;0;0;0;1;0;0.32;0
Gothika;tt0348836;/m/03cj29;[];13/11/2003;Mathieu Kassovitz;Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch;http://ia.media-imdb.com/images/M/MV5BMTYxNDA4OTAxNF5BMl5BanBnXkFtZTcwMTI5NjQzMw@@._V1_SX300.jpg;['60031247'];98;5.7;A repressed female psychiatrist wakes up as a patient in the asylum where she worked, with no memory of why she is there or what she has done.;0;0;0;0;0;0;0;1;0;0;1;0.008547009;0;0.912133891
Grabbers;tt1525366;/m/0ds4tmx;['http://www.youtube.com/watch?v=uC4GlNAD5ZA'];23/01/2012;Jon Wright;Richard Coyle, Ruth Bradley, Russell Tovey, Lalor Roddy;http://ia.media-imdb.com/images/M/MV5BMjIzMjE4NTY2Nl5BMl5BanBnXkFtZTcwNTM1NTk4OQ@@._V1_SX300.jpg;['70228190'];91;5.3;When an island off the coast of Ireland is invaded by bloodsucking aliens, the heroes discover that getting drunk is the only way to survive.;0;0;0;1;0;0;0;0;0;1;1;0.21025641;0.625;0.384937238
Gran Torino;tt1205489;;http://video-http.media-imdb.com/MV5BYzA1MzUwOTUtNTA0NS00YTU3LWJjNjUtNjk2ZmRjM2E5YTdlXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422389953&Signature=rJTSLv8o5lwYJbcJLhutsccBjEHQ1mnetCdsohorsFvHxZKxBtT2xOmfN4WwTG0zpgRE4WT9jTI8UkPjtINXQQVs~9Rkob1-gWQ4ESaX-utdLvw4qqRODzcvLebBmWIyB7yDc6AS-DzTEdRpj3P-udr6I6obzTuU1c2TzVITvDI_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;2008;Clint Eastwood;Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her;http://ia.media-imdb.com/images/M/MV5BMTQyMTczMTAxMl5BMl5BanBnXkFtZTcwOTc1ODE0Mg@@._V1_.jpg;70105600;116;8.2;Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Grave of the Fireflies;tt0095327;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e15955&bitrateid=471&vendorid=102&type=.mp4;1988;Isao Takahata;Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi;http://ia.media-imdb.com/images/M/MV5BMTgyMzUwMTMxMl5BMl5BanBnXkFtZTgwODYyMDk2MjE@._V1_.jpg;60024315;89;8.5;A tragic film covering a young boy and his little sister's struggle to survive in Japan during World War II.;0;0;1;0;1;1;0;0;0;0;0;0.17;0.33;0
Green Zone;tt0947810;/m/02x3y41;[];26/02/2010;Paul Greengrass;Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi;http://ia.media-imdb.com/images/M/MV5BMTYzMTA1NDMyNV5BMl5BanBnXkFtZTcwMzUwODY5Mg@@._V1_SX300.jpg;['70114023'];115;7.3;Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.;1;1;0;0;1;0;0;0;0;0;1;0.454700855;0.340909091;0.242677824
Greenberg;tt1234654;/m/09lycqx;['http://www.youtube.com/watch?v=DjV2GXxrEMI'];14/02/2010;Noah Baumbach;Greta Gerwig, Koby Rouviere, Sydney Rouviere, Chris Messina;http://ia.media-imdb.com/images/M/MV5BMTU4MzY4OTY0NF5BMl5BanBnXkFtZTcwOTc3OTQwMw@@._V1_SX300.jpg;['70118401'];107;3.9;A man from Los Angeles, who moved to New York years ago, returns to L.A. to figure out his life while he house-sits for his brother. He soon sparks with his brother's assistant.;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
Grind;tt0338077;/m/088_0b;[];15/08/2003;Casey La Scala;Mike Vogel, Vince Vieluf, Adam Brody, Joey Kern;http://ia.media-imdb.com/images/M/MV5BNTQ0MDY1NDU4Nl5BMl5BanBnXkFtZTYwMjE2NzQ3._V1_SX300.jpg;['60029209'];105;6.9;Four skaters follow their idol on his summer tour in an attempt to get noticed, get sponsored, and become stars themselves.;1;1;0;1;0;0;0;0;0;0;0;0.305982906;0.352272727;0
Groundhog Day;tt0107048;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e61679&bitrateid=471&vendorid=102&type=.mp4;1993;Harold Ramis;Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky;http://ia.media-imdb.com/images/M/MV5BMTU0MzQyNTExMV5BMl5BanBnXkFtZTgwMjA0Njk1MDE@._V1_.jpg;563104;101;8.1;A weatherman finds himself living the same day over and over again.;0;0;0;1;1;0;1;0;1;0;0;0.24;0.98;0.12
Guardians of the Galaxy;tt2015381;;http://video-http.media-imdb.com/MV5BYThmZGFlZDMtZTZkMy00NzU0LTgwZTQtMTk3NWFiZDhkNzg3XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422409205&Signature=DEF37BzKqIB4LVtNHa2zjQ0M2rzUz57VOivriBc~3cpBD47BDMXboog8FQyW6DY8WMhhVqJ~WUDdxZ6KWtaI~bHvdxU1Njl9yOhEqw0zasF~nP0vcpS9LaekGhENZ1HWTdnCclkuHhVbC4UI9~LmwzUc9DRQGBeJOuMxm5Y3H~I_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;2014;James Gunn;Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel;http://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_.jpg;;121;8.2;A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.;1;0;0;0;0;0;1;0;0;1;1;0.68034188;0.005681818;0.707112971
